,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ossora,RU,59.2353,163.0719,47.08,93,100,3.89,light rain
1,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,40,1.99,scattered clouds
2,Castro,BR,-24.7911,-50.0119,58.8,70,82,7.31,broken clouds
3,Yellowknife,CA,62.456,-114.3525,57.72,72,40,6.91,scattered clouds
4,Biltine,TD,14.5333,20.9167,102.13,19,11,8.97,few clouds
5,Fortuna,US,40.5982,-124.1573,55.92,75,90,0.0,overcast clouds
6,Igunga,TZ,-4.2833,33.8833,86.74,21,1,6.2,clear sky
7,Vaini,TO,-21.2,-175.2,71.76,78,40,11.5,scattered clouds
8,Keti Bandar,PK,24.1447,67.4497,87.37,65,14,18.39,few clouds
9,Gravdal,NO,68.1214,13.5031,55.29,71,40,11.5,scattered clouds
10,Thompson,CA,55.7435,-97.8558,57.36,88,90,5.75,overcast clouds
11,Malakal,SS,9.5334,31.6605,93.15,42,100,6.42,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,46,40,3.44,scattered clouds
13,Oxbow,CA,49.2333,-102.1676,57.15,95,95,8.61,light rain
14,Flinders,AU,-34.5833,150.8552,53.2,75,20,1.01,few clouds
15,Butaritari,KI,3.0707,172.7902,82.22,77,79,12.66,light rain
16,Saint-Philippe,RE,-21.3585,55.7679,78.48,78,28,8.79,light rain
17,Anadyr,RU,64.75,177.4833,45.1,87,20,13.0,few clouds
18,Leningradskiy,RU,69.3833,178.4167,40.48,79,72,7.78,broken clouds
19,Albany,US,42.6001,-73.9662,75.61,90,95,1.01,overcast clouds
20,Port Elizabeth,ZA,-33.918,25.5701,72.1,37,0,1.14,clear sky
21,Busselton,AU,-33.65,115.3333,57.09,79,62,24.25,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,61.92,42,100,2.3,overcast clouds
23,Sao Filipe,CV,14.8961,-24.4956,76.1,82,51,8.75,broken clouds
24,Port Lincoln,AU,-34.7333,135.8667,54.93,88,56,7.25,broken clouds
25,Teya,RU,60.3778,92.6267,64.92,40,86,6.82,overcast clouds
